ID,ScenarioNumber,NumberProjects,Downstream,Upstream1,Upstream2,FixStrategyD,FixStrategyU1,StructuralConfig
1,1,2,ipython/ipython,ipython/pickleshare,,RS1,,SC5
2,2,2,astropy/astropy,numpy/numpy,,RS1,,SC5
3,77,2,scipy/scipy,numpy/numpy,,RS1,,SC5
4,3,2,scikit-learn/scikit-learn,joblib/joblib,,RS5,,SC9
5,4,2,astropy/astropy,matplotlib/matplotlib,,RS2,,SC6
6,5,2,astropy/astropy,numpy/numpy,,RS1,,SC3
7,6,2,astropy/astropy,numpy/numpy,,RS1,,SC5
8,7,2,astropy/astropy,numpy/numpy,,RS2,,SC4
9,8,2,scikit-learn/scikit-learn,scipy/scipy,,RS5,,SC8
10,9,2,scikit-learn/scikit-learn,joblib/joblib,,RS2,,SC8
11,78,3,scikit-learn/scikit-learn,pandas-dev/pandas,cython/cython,RS2,RS4,SC14
12,10,2,astropy/astropy,numpy/numpy,,RS1,,SC3
13,11,2,ipython/ipython,codemirror/codemirror5,,RS1,,SC9
14,12,2,astropy/astropy,numpy/numpy,,RS2,,SC9
15,13,2,scikit-learn/scikit-learn,scipy/scipy,,RS1,,SC5
16,15,2,astropy/astropy,astropy/astropy-helpers,,RS1,,SC3
17,16,2,ipython/ipython,codemirror/codemirror5,,RS2,,SC7
18,17,3,astropy/astropy,numpy/numpy,python/cpython,RS1,RS4,SC12
19,19,2,scikit-learn/scikit-learn,joblib/joblib,,RS2,,SC7
20,20,2,numpy/numpy,pypa/pip,,RS2,,SC2
21,79,2,scipy/scipy,pypa/pip,,RS2,,SC2
22,21,2,scipy/scipy,numpy/numpy,,RS6,,SC8
23,22,2,scipy/scipy,numpy/numpy,,RS3,,SC9
24,24,2,scipy/scipy,numpy/numpy,,RS3,,SC8
25,25,2,scikit-learn/scikit-learn,sphinx-doc/sphinx,,RS1,,SC5
26,27,2,scikit-learn/scikit-learn,joblib/joblib,,RS1,,SC5
27,32,2,astropy/astropy,numpy/numpy,,RS4,,SC2
28,33,2,astropy/astropy,pandas-dev/pandas,,RS2,,SC7
29,34,2,scikit-learn/scikit-learn,numpy/numpy,,RS3,,SC8
30,35,2,astropy/astropy,numpy/numpy,,RS1,,SC3
31,37,2,scipy/scipy,numpy/numpy,,RS4,,SC8
32,38,2,scipy/scipy,swig/swig,,RS6,,SC9
33,42,2,astropy/astropy,numpy/numpy,,RS2,,SC2
34,45,3,ipython/ipython,codemirror/codemirror5,chromium,RS1,RS1,SC10
35,46,2,astropy/astropy,numpy/numpy,,RS1,,SC5
36,47,2,scipy/scipy,python-pillow/Pillow,,RS2,,SC2
37,49,2,scikit-learn/scikit-learn,numpy/numpy,,RS2,,SC9
38,50,2,ipython/ipython,zeromq/pyzmq,,RS1,,SC5
39,51,2,astropy/astropy,numpy/numpy,,RS1,,SC5
40,52,2,scipy/scipy,numpy/numpy,,RS1,,SC5
41,54,2,scikit-learn/scikit-learn,joblib/joblib,,RS1,,SC5
42,55,2,astropy/astropy,astropy/astroquery,,RS1,,SC3
43,56,2,astropy/astropy,mathjax/MathJax,,RS4,,SC2
44,80,2,ipython/ipython,mathjax/MathJax,,RS1,,SC1
45,58,2,scikit-learn/scikit-learn,joblib/joblib,,RS7,,
46,60,2,scipy/scipy,python-pillow/Pillow,,RS2,,SC9
47,62,2,scipy/scipy,numpy/numpy,,RS1,,SC5
48,64,2,astropy/astropy,liberfa/erfa,,RS5,,SC7
49,65,2,astropy/astropy,numpy/numpy,,RS3,,SC9
50,66,2,scikit-learn/scikit-learn,joblib/joblib,,RS7,,SC1
51,68,2,scikit-learn/scikit-learn,numpy/numpy,,RS2,,SC9
52,69,2,ipython/ipython,codemirror/codemirror5,,RS3,,SC9
53,70,2,astropy/astropy,numpy/numpy,,RS4,,SC4
54,81,2,astropy/astropy,numpy/numpy,,RS1,,SC3
55,71,2,astropy/astropy,numpy/numpy,,RS1,,SC4
56,72,3,nipy/dipy,scipy/scipy,numpy/numpy,RS3,RS2,SC13
57,74,2,astropy/astropy,numpy/numpy,,RS1,,SC5
58,59,3,wesleybowman/UTide,scipy/scipy,ContinuumIO/anaconda-issues,RS6,N/A,SC11
59,57,2,scikit-learn/scikit-learn,joblib/joblib,,RS1,,SC5
60,61,2,scipy/scipy,numpy/numpy,,RS5,,SC9
